Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0007560975609756098,0.0,0.000248,1.4,0.1267478451418762,0.009398733769164315,-1.2732521548581237,
0.002975609756097561,0.0,0.000976,1.35,0.0649051411835504,0.03496447590679923,-1.2850948588164497,
0.013853658536585364,0.0,0.004543999999999999,1.3,0.021539011389103635,0.08816680205794754,-1.2784609886108964,
0.03273170731707317,0.0,0.010736,1.25,-0.0007741439819186624,0.11158304643276176,-1.2507741439819187,
0.052487804878048785,0.0,0.017216000000000002,1.2,0.013905102772946876,0.13977022165486708,-1.186094897227053,
0.06790243902439023,0.0,0.022272,1.16,-0.005873090331490527,0.14421621342823682,-1.1658730903314904,
0.08729268292682928,0.0,0.028632,1.12,0.007651265170445676,0.1296004023055186,-1.1123487348295544,
0.11009756097560976,0.0,0.036112000000000005,1.08,0.011316784113844625,0.15963792503190882,-1.0686832158861554,
0.13426829268292684,0.0,0.044039999999999996,1.04,0.005779468926254916,0.21369257153172458,-1.0342205310737451,
0.1566829268292683,0.0,0.051392,1.0,-0.004547085327870404,0.15050868438358006,-1.0045470853278704,
0.17792682926829267,0.0,0.05836,0.96,-0.00047303277408738964,0.1814565522932747,-0.9604730327740874,
0.22551219512195123,0.0,0.073968,0.88,-0.019526282699661723,0.1553569816770344,-0.8995262826996617,
0.2524878048780488,0.0,0.082816,0.8,0.02007070498942487,0.09231880133586007,-0.7799292950105752,
0.28465853658536583,0.0,0.09336799999999999,0.72,0.013428316088761716,0.18053331270230744,-0.7065716839112383,
0.33780487804878045,0.0,0.1108,0.64,0.006607373808759087,0.18954779312214845,-0.6333926261912409,
0.38178048780487805,0.0,0.125224,0.56,-0.003275265661849547,0.17644836434438899,-0.5632752656618496,
0.41524390243902437,0.0,0.1362,0.5,0.01764289235680777,0.17616984513821227,-0.48235710764319223,
0.44258536585365854,0.0,0.14516800000000002,0.46,0.010083201896063931,0.28198006524562463,-0.4499167981039361,
0.48160975609756096,0.0,0.157968,0.42,0.0036652615148562995,0.31718179825419796,-0.4163347384851437,
0.5197317073170732,0.0,0.170472,0.38,-0.004722689795760959,0.24276172424011233,-0.38472268979576096,
0.547560975609756,0.0,0.17959999999999998,0.34,-0.011684892390157298,0.19728443773945156,-0.3516848923901573,
0.5696585365853659,1.1904761904761905e-05,0.186856,0.3,-0.01704026297812644,0.12481915593210795,-0.31704026297812643,
0.5892926829268293,5.9523809523809524e-05,0.193328,0.26,-0.002029658847224114,0.13854267404225082,-0.2620296588472241,
0.6072682926829268,0.00025,0.199352,0.22,0.01712542556530941,0.13692442587646142,-0.2028745744346906,
0.616390243902439,0.0008571428571428571,0.20275200000000002,0.2,0.03574426081781848,0.16848348871083083,-0.16425573918218153,
0.6254634146341463,0.0018333333333333333,0.20638399999999998,0.18,0.04725810621586368,0.2574961639137328,-0.1327418937841363,
0.6381219512195122,0.004226190476190476,0.212144,0.16,0.04815008044019277,0.2922852758758496,-0.11184991955980723,
0.650219512195122,0.009,0.21932,0.14,0.07754968443339465,0.34302348071643046,-0.062450315566605366,
0.6547804878048781,0.014857142857142857,0.224752,0.13,0.07149313044223173,0.6301032842054568,-0.05850686955776828,
0.6566341463414634,0.016285714285714285,0.22632,0.125,0.065197228263955,0.8367181153534049,-0.05980277173604499,
0.6594146341463415,0.020035714285714285,0.229752,0.12,0.07959412831718839,0.8546271582014561,-0.04040587168281161,
0.6634146341463415,0.02357142857142857,0.23344,0.115,0.0762838971908962,0.8008716619601509,-0.0387161028091038,
0.6677804878048781,0.03185714285714286,0.24044,0.11,0.07300168063970054,1.0776178871223872,-0.03699831936029946,
0.6683414634146342,0.036726190476190475,0.24389599999999997,0.105,0.07856224434946785,1.0065129653270635,-0.02643775565053215,
0.6695853658536586,0.04663095238095238,0.25096,0.1,0.07525322974326842,1.5023274405889373,-0.02474677025673158,
0.6737560975609755,0.06208333333333333,0.262712,0.095,0.07048424595109674,2.645711964720898,-0.024515754048903254,
0.6752682926829269,0.07447619047619047,0.271536,0.09,0.06406128963290884,2.5758333010973877,-0.025938710367091153,
0.6804146341463414,0.10054761904761904,0.290744,0.085,0.061422073177142614,4.1598661560477925,-0.023577926822857396,
0.6786829268292683,0.12270238095238095,0.305064,0.08,0.05510581129806144,4.8451523474267875,-0.02489418870193856,
0.6859024390243902,0.16610714285714284,0.3366,0.075,0.05182601571070397,5.333288202906098,-0.023173984289296026,
0.6836585365853659,0.20632142857142857,0.362888,0.07,0.046161058151986296,8.635938003688167,-0.02383894184801371,
0.6890975609756098,0.2621547619047619,0.402192,0.065,0.04141044831007311,7.782321767049236,-0.02358955168992689,
0.6895121951219512,0.3149047619047619,0.437776,0.06,0.037604754181762824,8.908380075561118,-0.022395245818237174,
0.6973658536585365,0.43273809523809526,0.519536,0.05,0.027855498876007037,6.094072440783895,-0.022144501123992966,
0.7028536585365853,0.5344404761904762,0.58968,0.04,0.017094913167611636,6.205949479711693,-0.022905086832388365,
0.7078048780487805,0.6098809523809523,0.642,0.03,0.007816567909144999,5.493017678233232,-0.022183432090855,
0.7149512195121951,0.6870119047619048,0.696176,0.02,-0.0017135682937602266,5.494327750054121,-0.021713568293760227,
0.719829268292683,0.7449166666666667,0.736688,0.01,-0.0112460223056209,4.192106043609984,-0.0212460223056209,
0.728,0.7970238095238096,0.774384,-0.0,-0.020361529613239986,2.655855995255191,-0.020361529613239986,
