Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.0006188449848024317,0.0,0.00020360000000000002,1.6,0.06813364209779382,0.007307383337846376,-1.5318663579022063
0.007621276595744681,0.0,0.0025074,1.5,0.003526788841902384,0.029977291336247453,-1.4964732111580976
0.023589057750759878,0.0,0.0077608,1.4,0.00803567110059955,0.07733353964385667,-1.3919643288994004
0.0359033434650456,0.0,0.0118122,1.35,-0.000649025386395774,0.08219101614379853,-1.3506490253863959
0.04861884498480243,0.0,0.0159956,1.3,0.001454731390105879,0.09130774438126223,-1.2985452686098942
0.06187720364741642,0.0,0.0203576,1.25,0.002305545920427088,0.08933093497349866,-1.247694454079573
0.07572644376899697,0.0,0.024914000000000002,1.2,0.01031688893867222,0.10142273670908641,-1.1896831110613277
0.08913738601823708,0.0,0.0293262,1.16,0.008666273474548847,0.11689560526350024,-1.151333726525451
0.10457446808510638,0.0,0.034405,1.12,0.003915030088665894,0.13499538219024554,-1.1160849699113342
0.12283161094224924,0.0,0.0404116,1.08,0.009090976936253492,0.1608168542802999,-1.0709090230637466
0.1442370820668693,0.0,0.047454,1.04,0.006400737713922133,0.20037442136344844,-1.033599262286078
0.1701920972644377,0.0,0.0559932,1.0,0.005148750821859394,0.21886458937758868,-0.9948512491781406
0.19737689969604863,0.0,0.064937,0.96,-0.005268684297865089,0.21503967448068279,-0.965268684297865
0.2448978723404255,0.0,0.0805714,0.88,0.0030153193915215537,0.19259820864442312,-0.8769846806084785
0.2932024316109422,0.0,0.0964636,0.8,-0.0023645170515649294,0.1816449331425254,-0.802364517051565
0.3384139817629179,0.0,0.1113382,0.72,0.00653334532402261,0.2150392618596024,-0.7134666546759774
0.38970577507598786,0.0,0.1282132,0.64,0.002210795519807185,0.2310897773135546,-0.6377892044801928
0.44770273556231,0.0,0.1472942,0.56,-0.004209886687105646,0.2453502105012946,-0.5642098866871057
0.49149726443768993,0.0,0.1617026,0.5,0.0030113976201093795,0.22003312412164505,-0.4969886023798906
0.5198449848024316,0.0,0.171029,0.46,-0.005347609064290992,0.21800248700899508,-0.465347609064291
0.5428437689969604,0.0,0.1785956,0.42,-0.005898850358001084,0.1865522868233192,-0.42589885035800107
0.5654978723404255,5.961251862891207e-07,0.18604920000000003,0.38,0.006407459228265522,0.1930929235488151,-0.3735925407717345
0.5913215805471125,5.961251862891207e-07,0.1945452,0.34,0.009685984324339147,0.22856776011243474,-0.3303140156756609
0.6227337386018237,1.3710879284649776e-05,0.2048886,0.3,0.005853763108885746,0.2896160545047563,-0.29414623689111424
0.6577075987841945,6.706408345752608e-05,0.2164308,0.26,0.004824101006160764,0.2861112465023625,-0.25517589899383925
0.6957009118541033,0.0003427719821162444,0.2291156,0.22,0.0102318825394844,0.32815609325220146,-0.2097681174605156
0.7157525835866261,0.00087451564828614,0.2360694,0.2,0.011949804608635067,0.33500411170418504,-0.18805019539136494
0.7344103343465046,0.0018608047690014903,0.2428696,0.18,0.019678468467202115,0.39259425167315215,-0.16032153153279788
0.7537306990881458,0.003798509687034277,0.2505262,0.16,0.02846715818163062,0.39720068694964195,-0.13153284181836938
0.7723398176291792,0.008594634873323398,0.2598668,0.14,0.052130925375344805,0.5095006705090199,-0.08786907462465521
0.78110820668693,0.01334307004470939,0.2659378,0.13,0.058716272810343265,0.700792166324942,-0.07128372718965674
0.7853118541033434,0.016142771982116243,0.26919940000000003,0.125,0.06450729742979806,0.7616259058318234,-0.06049270257020194
0.7895866261398177,0.020113263785394932,0.27326999999999996,0.12,0.06388715582980675,0.8687405709650812,-0.056112844170193237
0.7936729483282675,0.024709985096870345,0.2776988,0.115,0.06406295636025924,0.9834435224937617,-0.05093704363974076
0.7977264437689969,0.03084530551415797,0.2831492,0.11,0.06313780752332956,1.0810727566953775,-0.04686219247667043
0.8020218844984803,0.03868882265275708,0.2898254,0.105,0.06556893957249724,1.3814469959257523,-0.03943106042750276
0.8063665653495441,0.04844202682563339,0.2977992,0.1,0.062065739452906506,1.7710984488030892,-0.0379342605470935
0.8106000000000001,0.06023934426229508,0.307108,0.095,0.060758532988884194,2.1619705233839275,-0.03424146701111581
0.8139975683890578,0.07688852459016393,0.3193974,0.09,0.054955092575650726,2.5579552547930287,-0.03504490742434927
0.8187282674772037,0.09919225037257826,0.3359196,0.085,0.05081426523768924,3.5880758900365852,-0.034185734762310765
0.823516717325228,0.12577883755588673,0.3553346,0.08,0.045623637548552344,4.636177954108069,-0.03437636245144766
0.8279094224924013,0.16312071535022354,0.3818362,0.075,0.03872006935438662,6.0910993755880725,-0.03627993064561338
0.831975075987842,0.20894575260804768,0.41392239999999997,0.07,0.03218310948388877,6.984754709682927,-0.037816890516111236
0.836561094224924,0.2658706408345753,0.45362779999999997,0.065,0.024576291679898665,8.091856019432315,-0.04042370832010134
0.8410036474164134,0.32995976154992546,0.4980932,0.06,0.017703999975057345,8.68114844686694,-0.04229600002494265
0.8508449848024316,0.44849687034277197,0.5808694000000001,0.05,0.005037149646891725,7.565146723852266,-0.04496285035310828
0.8608303951367781,0.5506402384500745,0.6526928000000001,0.04,-0.0043115011589069455,7.0148329271588175,-0.044311501158906946
0.8699720364741641,0.6365728763040238,0.7133612,0.03,-0.012890085443718953,5.480185105667197,-0.04289008544371895
0.8800127659574468,0.7072545454545455,0.764092,0.02,-0.020766838625110102,4.758920351245682,-0.0407668386251101
0.8896370820668693,0.7668521609538004,0.8072484,0.01,-0.027002302032816124,4.047921157149914,-0.037002302032816126
0.899629179331307,0.8165314456035768,0.8438705999999999,-0.0,-0.032913897955954424,3.1318846321241893,-0.032913897955954424
0.9100340425531915,0.857274515648286,0.8746324,-0.01,-0.03906561504719845,2.8467173352411836,-0.02906561504719845
0.9202899696048632,0.8914333830104322,0.9009271999999999,-0.02,-0.04478542879497774,2.327098087762728,-0.02478542879497774
0.9297313069908815,0.9186238450074516,0.9222781999999999,-0.03,-0.04972654792588422,1.82014254606731,-0.01972654792588422
0.940882066869301,0.9407770491803278,0.9408116,-0.04,-0.05578038262604933,1.594881300529663,-0.015780382626049326
0.9606589665653495,0.9701323397913562,0.9670156,-0.06,-0.06592819142653586,1.0963372081091614,-0.005928191426535856
0.976111246200608,0.9855561847988078,0.9824488,-0.08,-0.07587836351419196,0.5553532165115723,0.004121636485808048
0.9878127659574468,0.99348435171386,0.9916183999999999,-0.1,-0.0893332332161878,0.30617696285746554,0.010666766783812206
0.9938170212765958,0.9969538002980626,0.9959218,-0.12,-0.10536503512609362,0.15083574942470895,0.01463496487390638
