Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.0,0.0,0.0,1.0,,0.0,
0.0,0.0,0.0,0.99,,0.0,
0.0,0.0,0.0,0.98,,0.0,
0.0,0.0,0.0,0.97,,0.0,
0.0,0.0,0.0,0.96,,0.0,
0.0,0.0,0.0,0.95,,0.0,
0.0,0.0,0.0,0.92,,0.0,
0.0,0.0,0.0,0.88,,0.0,
0.0,0.0,0.0,0.84,,0.0,
0.0,0.0,0.0,0.8,,0.0,
0.0,0.0,0.0,0.76,,0.0,
0.0,0.0,0.0,0.72,,0.0,
0.0,0.0,0.0,0.68,,0.0,
0.0,0.0,0.0,0.64,,0.0,
0.0,0.0,0.0,0.6,,0.0,
0.0,0.0,0.0,0.56,,0.0,
6.666666666666667e-05,0.0,2e-05,0.52,0.15893067731604116,0.0007994532771137159,-0.36106932268395886
0.00031666666666666665,0.0,9.499999999999999e-05,0.5,0.1950911723002342,0.0038840373679935015,-0.3049088276997658
0.0005583333333333333,0.0,0.0001675,0.48,0.13585060494737644,0.006297205620672314,-0.34414939505262354
0.0011583333333333335,0.0,0.00034750000000000004,0.46,0.11047074052701061,0.014876822140987454,-0.3495292594729894
0.003266666666666667,7.142857142857143e-06,0.000985,0.44,0.10570210644460665,0.036946910499916184,-0.33429789355539336
0.006033333333333333,7.142857142857143e-06,0.001815,0.42,0.07762876150698372,0.06738577166582853,-0.34237123849301626
0.015058333333333333,3.5714285714285714e-06,0.00452,0.4,0.06333420374407611,0.1588768326176937,-0.3366657962559239
0.02969166666666667,1.785714285714286e-05,0.00892,0.38,0.05911026396698704,0.28542738514306343,-0.32088973603301296
0.04883333333333333,9.285714285714286e-05,0.014715,0.36,0.04990672959669229,0.36054013062034973,-0.3100932704033077
0.08755833333333334,0.00016785714285714285,0.026385000000000002,0.34,0.04259003016231838,0.7187709534125056,-0.29740996983768164
0.14182499999999998,0.0004714285714285714,0.0428775,0.32,0.03632706609599068,1.0422508437778049,-0.28367293390400933
0.22166666666666668,0.0008785714285714285,0.067115,0.3,0.023811409412805074,1.3100198412698398,-0.2761885905871949
0.32894166666666663,0.0022714285714285714,0.1002725,0.28,0.01994751407237394,1.6074812346072929,-0.2600524859276261
0.4530083333333333,0.004625,0.13913999999999999,0.26,0.013013500024463859,1.9576998955553113,-0.24698649997553615
0.580875,0.010667857142857144,0.18172999999999997,0.24,0.012186365120666759,2.3714766030973107,-0.22781363487933323
0.6994333333333334,0.02271785714285714,0.2257325,0.22,0.013286717328545666,2.1843077274572784,-0.20671328267145433
0.8056249999999999,0.04938571428571428,0.2762575,0.2,0.02472938928664678,2.771289372268079,-0.17527061071335323
0.8808083333333333,0.10784642857142857,0.339735,0.18,0.029183878288165266,3.28029339612894,-0.15081612171183473
0.9295833333333333,0.2091285714285714,0.425265,0.16,0.02346603365333974,5.253742198883567,-0.13653396634666026
0.9609166666666666,0.3728357142857143,0.54926,0.14,0.010360669168632486,6.896330573929127,-0.12963933083136753
0.9734499999999999,0.46929642857142856,0.6205425,0.13,-0.0007362055272444046,7.368339131786481,-0.1307362055272444
0.9799249999999999,0.5691071428571428,0.6923524999999999,0.12,-0.00878935525412744,7.448889690760639,-0.12878935525412744
0.98735,0.6642607142857143,0.7611875,0.11,-0.01856758996060183,5.951713566044582,-0.12856758996060183
0.991225,0.7481107142857143,0.821045,0.1,-0.02765904322805665,5.355538712234702,-0.12765904322805666
0.9934083333333333,0.8185071428571428,0.8709775000000001,0.09,-0.0375941312109741,4.362149816092039,-0.1275941312109741
0.9953416666666667,0.8681178571428572,0.906285,0.08,-0.0473895642616113,3.4887234375205702,-0.1273895642616113
0.9972166666666666,0.9066678571428571,0.9338325000000001,0.07,-0.05827846684475818,2.5358576352624858,-0.1282784668447582
0.9979750000000001,0.9362892857142857,0.9547950000000001,0.06,-0.06786199609866292,1.577880207729572,-0.12786199609866292
0.9993416666666667,0.9710321428571429,0.979525,0.04,-0.08734460214116205,0.8504164087790429,-0.12734460214116206
0.9995583333333333,0.9862000000000001,0.9902075,0.02,-0.10739789234017234,0.3797917835213016,-0.12739789234017235
0.999725,0.9942607142857142,0.9959,-0.0,-0.12744640103839666,0.1676675950619708,-0.12744640103839666
