Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.04764866666666667,0.0,0.014294600000000001,2.0,3.0019008973178637e-05,0.04213269554369218,-1.9913545254157246
0.05612666666666667,0.0,0.016838000000000002,1.95,4.9204491651701825e-05,0.06326633076734486,-1.9358291064043098
0.06881866666666667,0.0,0.0206456,1.9,-1.1766759535218144e-05,0.0810736012791229,-1.9033888267461427
0.08038000000000001,0.0,0.024114,1.85,-1.4804507111402459e-05,0.06116389759261378,-1.854263698048084
0.09005400000000001,0.0,0.0270162,1.8,3.0190115970417064e-05,0.05751988881796843,-1.79130524660052
0.10210066666666666,0.0,0.0306302,1.75,5.640817559797759e-05,0.09366272017201165,-1.7337544454277825
0.12061733333333334,0.0,0.0361852,1.7,1.0146704428827997e-05,0.11632570951477972,-1.6970777491244975
0.142172,0.0,0.042651600000000005,1.65,4.615148411244502e-05,0.15655860830657334,-1.6367083725756157
0.17168933333333333,0.0,0.0515068,1.6,1.439579430142825e-05,0.19441450040617164,-1.5958540112411888
0.20439133333333334,0.0,0.0613174,1.55,-1.2660059541497489e-06,0.20598931617732577,-1.5503646097147952
0.23645933333333333,0.0,0.0709378,1.5,5.717133845048461e-06,0.17981515785979824,-1.498353465452626
0.270284,0.0,0.0810852,1.45,4.9202816898564724e-05,0.2482967486751011,-1.4358295887332133
0.3181946666666667,0.0,0.0954584,1.4,2.1129472712909842e-05,0.3200446275450119,-1.3939147118586819
0.372392,0.0,0.1117176,1.35,-2.151462241191239e-05,0.30529626191121084,-1.3561962112546309
0.416794,0.0,0.12503820000000002,1.3,-2.2052192164878172e-05,0.21326022123576102,-1.306351031343485
0.4534766666666667,0.0,0.136043,1.25,4.130375561954712e-05,0.2571175317202064,-1.2381045183815704
0.505108,0.0,0.15153239999999998,1.2,2.520792617468872e-05,0.35815325970626094,-1.1927401172616896
0.5682579999999999,0.0,0.1704774,1.15,1.6322848374197222e-06,0.40529720884436976,-1.149529901966823
0.6343086666666666,0.0,0.1902926,1.1,-1.876796921174305e-06,0.39254576789419876,-1.1005405175132983
0.6964213333333333,0.0,0.2089264,1.05,-2.6307084227311185e-05,0.3580169174628825,-1.0575764402574657
0.7479306666666666,0.0,0.2243792,1.0,-7.339131015599406e-05,0.24014640310499474,-1.0211366973249263
0.7774633333333334,0.0,0.233239,0.95,-5.296665712969862e-05,0.1406231665763332,-0.9652543972533532
0.799608,0.0,0.2398824,0.9,6.2897617416165285e-06,0.129616404265542,-0.8981885486184145
0.8218753333333333,0.0,0.2465626,0.85,4.743066923164803e-05,0.14336730284441287,-0.8363399672612853
0.8520206666666666,0.0,0.2556062,0.8,1.6135565031631506e-05,0.2106890118692169,-0.7953529572708902
0.8879226666666666,0.0,0.2663768,0.75,-4.595253133686643e-05,0.18633268861293797,-0.7632343290250175
0.9124000000000001,0.0,0.27372,0.7,-1.6484085029840286e-05,0.1225129911156743,-0.704747416488594
0.9355406666666666,0.0,0.2806622,0.65,-4.3595101357928656e-06,0.1558670191676712,-0.6512555389191084
0.9573213333333332,0.0,0.28719639999999996,0.6,-0.00011706991186989761,0.08995112697146815,-0.6337161346185305
0.9663033333333334,0.0,0.289891,0.55,-7.982812739494428e-05,0.032246475796895956,-0.572990500689744
0.9724553333333333,1.142857142857143e-06,0.2917374,0.5,1.804478353857126e-05,0.04444221290616237,-0.4948031023408915
0.9797406666666666,2e-06,0.2939236,0.45,-1.5372416397064007e-05,0.037679132335069566,-0.45442725592235444
0.9865986666666667,2.0285714285714286e-05,0.29599380000000003,0.4,-1.5273459420524638e-05,0.04333249439060925,-0.4043987563131111
0.991918,0.00012485714285714286,0.2976628,0.35,2.2430916935264577e-05,0.023401257849449186,-0.3435398959226438
0.9944480000000001,0.0009631428571428572,0.2990086,0.3,0.00039154448318088383,0.042050396986612164,-0.18723518884390544
0.9977466666666667,0.006960571428571428,0.3041964,0.25,0.0003884239338228561,0.21555877593413697,-0.13813390705901743
0.9994940000000001,0.049909714285714286,0.334785,0.2,0.0002518246593835184,1.3548189423683272,-0.1274744980975467
0.9999466666666667,0.28393942857142856,0.4987416,0.15,7.974821958589098e-05,5.589847214162734,-0.1270325127592634
0.9999906666666667,0.7471662857142857,0.8230136,0.1,-9.371402633702394e-05,5.08956405297094,-0.1269896395850629
1.0,0.9573785714285714,0.9701649999999999,0.05,-0.0002673611111085936,1.1484479767066766,-0.12699999999927497
1.0,0.9939008571428571,0.9957306,-0.0,-0.000440972222196261,0.16594747382547598,-0.12699999999252318
