Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.0,0.0,0.0,1.0,,0.0,
0.0,0.0,0.0,0.99,,0.0,
0.0,0.0,0.0,0.98,,0.0,
0.0,0.0,0.0,0.97,,0.0,
0.0,0.0,0.0,0.96,,0.0,
0.0,0.0,0.0,0.95,,0.0,
0.0,0.0,0.0,0.92,,0.0,
0.0,0.0,0.0,0.88,,0.0,
0.0,0.0,0.0,0.84,,0.0,
0.0,0.0,0.0,0.8,,0.0,
0.0,0.0,0.0,0.76,,0.0,
0.0,0.0,0.0,0.72,,0.0,
0.0,0.0,0.0,0.68,,0.0,
0.00010416666666666667,0.0,3.125e-05,0.64,0.26300000000000007,0.0012434792577334212,-0.37699999999999995
0.00016666666666666666,0.0,5e-05,0.6,0.22299999999999998,0.0019744561783554475,-0.377
0.0009791666666666666,0.0,0.00029374999999999996,0.56,0.18300000000000005,0.012460606577115008,-0.377
0.0029166666666666664,0.0,0.0008749999999999999,0.52,0.14300000000000018,0.04407268255257695,-0.37699999999999984
0.007125,0.0,0.0021375,0.5,0.12300000000000011,0.07998310429641664,-0.3769999999999999
0.016583333333333332,0.0,0.004975,0.48,0.10300000000000009,0.19945029528193625,-0.3769999999999999
0.036375000000000005,5.357142857142857e-05,0.01095,0.46,0.08337036257433017,0.3828631709927404,-0.37662963742566985
0.07102083333333334,0.0,0.021306250000000002,0.44,0.06299999999999922,0.7549770147109064,-0.3770000000000008
0.1501458333333333,1.785714285714286e-05,0.04505625,0.42,0.04317773713252021,1.4533401502440275,-0.3768222628674798
0.2936666666666667,1.785714285714286e-05,0.0881125,0.4,0.02325700402640518,2.5375766209882507,-0.37674299597359484
0.47087500000000004,0.00023214285714285714,0.141425,0.38,0.003638797679943906,3.0342253845756733,-0.3763612023200561
0.6621666666666666,0.0004642857142857143,0.198975,0.36,-0.015996429296995962,2.925610147254061,-0.37599642929699595
0.8163958333333333,0.0010982142857142857,0.2456875,0.34,-0.03638352876923173,1.9597862711628808,-0.37638352876923176
0.9097500000000001,0.002660714285714286,0.2747875,0.32,-0.03945946572398973,0.9995961431213868,-0.35945946572398974
0.9541041666666668,0.004544642857142857,0.2894125,0.3,-0.0364865411915789,0.5978547533621884,-0.3364865411915789
0.9801458333333334,0.012955357142857143,0.3031125,0.28,0.0237900541291049,0.6648653783540749,-0.25620994587089513
0.9920208333333334,0.023892857142857143,0.31433125,0.26,0.06158642784391638,0.7238944405357105,-0.19841357215608363
0.9957499999999999,0.056741071428571425,0.33844375,0.24,0.06473438580835636,1.7029678242220418,-0.17526561419164363
0.9982500000000001,0.12139285714285715,0.38445,0.22,0.04622369819334837,2.61631561641687,-0.17377630180665163
0.9990833333333333,0.23146428571428573,0.46175,0.2,0.02885855018591041,4.877712661019474,-0.1711414498140896
0.99975,0.3982857142857143,0.578725,0.18,0.009978793367634214,7.079825651489354,-0.17002120663236578
0.999625,0.6015267857142857,0.72095625,0.16,-0.010569229700657046,7.224514379481403,-0.17056922970065705
0.9999791666666666,0.7714196428571428,0.8399875,0.14,-0.029929438651829565,5.175389632734913,-0.16992943865182958
1.0,0.83675,0.8857250000000001,0.13,-0.04000000000007517,4.484423152552122,-0.17000000000007517
1.0,0.8815178571428571,0.9170625,0.12,-0.050000000000113454,3.48847874598556,-0.17000000000011345
1.0,0.9175267857142858,0.9422687500000001,0.11,-0.06000000000041093,1.8549757655620285,-0.17000000000041093
1.0,0.9437946428571428,0.96065625,0.1,-0.06999999999973819,1.5678384610800196,-0.1699999999997382
1.0,0.9622142857142858,0.97355,0.09,-0.07999999999950158,0.8823199940686757,-0.16999999999950158
1.0,0.9744464285714287,0.9821125,0.08,-0.09000000000008636,0.6790693743274999,-0.17000000000008636
1.0,0.9810446428571429,0.98673125,0.07,-0.09999999999961848,0.6147956629238566,-0.16999999999961848
1.0,0.9870357142857143,0.9909250000000001,0.06,-0.11000000000118512,0.3463458054491157,-0.17000000000118512
1.0,0.9941875,0.99593125,0.04,-0.13000000000854586,0.16810517384010318,-0.17000000000854587
1.0,0.9977678571428571,0.9984375,0.02,-0.1500000000164929,0.08354921392478815,-0.1700000000164929
1.0,0.9989464285714286,0.9992624999999999,-0.0,-0.17000000010780306,0.024476708670302938,-0.17000000010780306
