Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0007800000000000001,0.0,0.00023400000000000002,1.2,0.17605745202728618,0.008602504093974445,-1.0239425479727138,0.0
0.00431,0.0,0.0012929999999999999,1.16,0.136410323470459,0.055941662475984186,-1.023589676529541,0.00016545168712605606
0.016081666666666664,0.0,0.0048245,1.12,0.09931833514899036,0.15392294221371214,-1.0206816648510098,0.0005816895660833487
0.047746666666666666,0.0,0.014324,1.08,0.07529484321643443,0.24181237347362555,-1.0047051567835656,0.0014110585100245252
0.079655,0.0,0.0238965,1.04,0.061500981675339905,0.198778395903441,-0.9784990183246601,0.00206579752691278
0.10830833333333333,0.0,0.0324925,1.0,0.05193883098582652,0.2490388629388955,-0.9480611690141735,0.0025533618417304736
0.136105,0.0,0.0408315,0.96,0.04589378361798402,0.1846606312779902,-0.914106216382016,0.002961274928321062
0.186145,0.0,0.0558435,0.88,0.03615062040073502,0.17683533760785858,-0.843849379599265,0.003577100224885567
0.2324483333333333,0.0,0.06973449999999999,0.8,0.029065684795043012,0.176311663475351,-0.770934315204957,0.004030060072622843
0.27791499999999997,0.0,0.0833745,0.72,0.024095356619123987,0.16863465549363507,-0.695904643380876,0.004392618375067462
0.32280333333333333,0.0,0.096841,0.64,0.017887027082621132,0.16720170399613857,-0.6221129729173789,0.004675296260127237
0.3691433333333333,0.0,0.110743,0.56,0.012217729096519081,0.17503763555248208,-0.547782270903481,0.004884554420328441
0.40563,0.0,0.12168899999999999,0.5,0.009614847504607948,0.18844201707231034,-0.49038515249539205,0.005004044112066409
0.43125166666666664,0.0,0.12937549999999998,0.46,0.007485292272387034,0.18904408517418264,-0.452514707727613,0.005069764224264345
0.45749666666666666,0.0,0.13724899999999998,0.42,0.003984593199306219,0.19607550642820087,-0.41601540680069377,0.005114918295895034
0.4856566666666667,5.7142857142857145e-06,0.145701,0.38,0.001503621919306919,0.22735250409432292,-0.3784963780806931,0.005138111492986293
0.5165516666666666,2.5e-05,0.154983,0.34,-0.00033769074534317767,0.24440632535138856,-0.3403376907453432,0.005143522579564659
0.5493383333333334,0.00013428571428571428,0.1648955,0.3,0.0007025033144162918,0.25118545946004356,-0.2992974966855837,0.005145330681860127
0.5866966666666666,0.00036285714285714285,0.176263,0.26,-0.0008421220859095024,0.2898687832833104,-0.2608421220859095,0.005144537123667653
0.6295700000000001,0.0023728571428571427,0.190532,0.22,0.01616795278822969,0.41527858367747733,-0.2038320472117703,0.0052538792628133565
0.6545683333333333,0.004985714285714286,0.1998605,0.2,0.024343176466222,0.502462005821853,-0.175656823533778,0.005442833297438433
0.6826216666666667,0.011999285714285714,0.21318600000000001,0.18,0.04081896821120476,0.7780891777232538,-0.13918103178879523,0.0058769923768879585
0.7147249999999999,0.029165000000000003,0.234833,0.16,0.04692448770721873,1.3723365795005955,-0.11307551229278127,0.0068266836720210135
0.7555533333333333,0.06834857142857143,0.27451,0.14,0.04090989918329292,2.717367477724744,-0.09909010081670709,0.008569186156348428
0.7778483333333334,0.11146214285714286,0.311378,0.13,0.03530730395981842,4.171833778190308,-0.09469269604018159,0.009974174079088544
0.807175,0.18745285714285717,0.3733695,0.12,0.026429527291450886,7.901025729982211,-0.09357047270854911,0.011887753466345075
0.8412366666666667,0.30581214285714287,0.4664395,0.11,0.013373393109681747,12.253844931048398,-0.09662660689031825,0.013739982367211781
0.8834383333333333,0.4399757142857143,0.5730145,0.1,-0.0031569687175399125,11.23856747563077,-0.10315696871753992,0.014284390082008038
0.9261383333333333,0.5618028571428572,0.6711035000000001,0.09,-0.01326325852572878,8.106757455377931,-0.10326325852572878,0.013479068246975546
0.9551666666666667,0.6561757142857143,0.745873,0.08,-0.023652272054305395,6.388805961724392,-0.1036522720543054,0.012098990365123614
0.974545,0.7368142857142856,0.8081335000000001,0.07,-0.02968712249165889,6.586981463482571,-0.0996871224916589,0.010438521678059108
0.9839166666666667,0.7974821428571428,0.8534125,0.06,-0.03555246012679479,4.219984538803401,-0.09555246012679479,0.008961530147368627
0.9932416666666668,0.8896721428571428,0.9207430000000001,0.04,-0.05284969874774253,2.352097194818632,-0.09284969874774253,0.005985449368317606
0.9965533333333334,0.9428914285714286,0.95899,0.02,-0.07011541989178016,1.4978788699364665,-0.09011541989178017,0.0036339259220146986
0.9984783333333334,0.9724685714285713,0.9802715,-0.0,-0.08992387659802056,0.7254746552431405,-0.08992387659802056,0.0019309877778908554
